Emplid;Periodo;Programa Academico
8918786;20222;Ingeniería Industrial
8922587;20222;Ingeniería Industrial
8924421;20222;Ingeniería Industrial
8922415;20231;Ingeniería Industrial
8932789;20222;Ingeniería Industrial
7291446;20232;Ingeniería Industrial
8925792;20232;Ingeniería Industrial
8938433;20232;Ingeniería Industrial
8940430;20232;Ingeniería Industrial
8943112;20232;Ingeniería Industrial
8943267;20232;Ingeniería Industrial
8943640;20232;Ingeniería Industrial
8943750;20232;Ingeniería Industrial
8943992;20232;Ingeniería Industrial
8944069;20232;Ingeniería Industrial
8944129;20232;Ingeniería Industrial
8944267;20232;Ingeniería Industrial
8945956;20232;Ingeniería Industrial
8946474;20232;Ingeniería Industrial
8947169;20232;Ingeniería Industrial
8947317;20232;Ingeniería Industrial
8947321;20232;Ingeniería Industrial
8947739;20232;Ingeniería Industrial
8947807;20232;Ingeniería Industrial
8949563;20232;Ingeniería Industrial
8950022;20232;Ingeniería Industrial
8950320;20232;Ingeniería Industrial
8950356;20232;Ingeniería Industrial
8950397;20232;Ingeniería Industrial
8951445;20232;Ingeniería Industrial
8947780;20231;Ingeniería Industrial
8944080;20231;Ingeniería Industrial
8947167;20231;Ingeniería Industrial
8939248;20222;Ingeniería Industrial
8943717;20222;Ingeniería Industrial
8943718;20222;Ingeniería Industrial
8946569;20231;Ingeniería Industrial
8942574;20222;Ingeniería Industrial
8943877;20231;Ingeniería Industrial
8947131;20231;Ingeniería Industrial
5811545;20222;Ingeniería Industrial
8925960;20222;Ingeniería Industrial
8938990;20222;Ingeniería Industrial
8940726;20231;Ingeniería Industrial
8943013;20231;Ingeniería Industrial
8943725;20231;Ingeniería Industrial
8943780;20222;Ingeniería Industrial
8944150;20222;Ingeniería Industrial
8946409;20231;Ingeniería Industrial
8946564;20231;Ingeniería Industrial
8946581;20231;Ingeniería Industrial
8946757;20231;Ingeniería Industrial
8947901;20231;Ingeniería Industrial
00008937994;20231;Ingeniería Industrial
8931578;20231;Ingeniería Industrial
8934929;20222;Ingeniería Industrial
8938622;20222;Ingeniería Industrial
8938845;20231;Ingeniería Industrial
8942759;20231;Ingeniería Industrial
8942764;20222;Ingeniería Industrial
8942888;20231;Ingeniería Industrial
8947011;20231;Ingeniería Industrial
8947474;20231;Ingeniería Industrial
8947561;20231;Ingeniería Industrial
8925793;20231;Ingeniería Industrial
8936385;20222;Ingeniería Industrial
8939460;20231;Ingeniería Industrial
8943238;20222;Ingeniería Industrial
8944094;20222;Ingeniería Industrial
8946049;20231;Ingeniería Industrial
8946407;20231;Ingeniería Industrial
8947178;20231;Ingeniería Industrial
8947893;20231;Ingeniería Industrial
8953099;20231;Ingeniería Industrial
6041800;20222;Ingeniería Industrial
8922252;20231;Ingeniería Industrial
8939112;20222;Ingeniería Industrial
8942687;20231;Ingeniería Industrial
8942713;20222;Ingeniería Industrial
8934220;20231;Ingeniería Industrial
8942076;20231;Ingeniería Industrial
8946932;20231;Ingeniería Industrial
8951026;20231;Ingeniería Industrial
8939372;20231;Ingeniería Civil
0066668;20232;Ingeniería Civil
0218633;20232;Ingeniería Civil
2321163;20232;Ingeniería Civil
8598283;20232;Ingeniería Civil
8926736;20232;Ingeniería Civil
8929617;20232;Ingeniería Civil
8935996;20232;Ingeniería Civil
8940536;20232;Ingeniería Civil
8942719;20232;Ingeniería Civil
8943054;20232;Ingeniería Civil
8943196;20232;Ingeniería Civil
8943428;20232;Ingeniería Civil
8943499;20232;Ingeniería Civil
8943963;20232;Ingeniería Civil
8944179;20232;Ingeniería Civil
8946497;20232;Ingeniería Civil
8946542;20232;Ingeniería Civil
8946792;20232;Ingeniería Civil
8947233;20232;Ingeniería Civil
8947259;20232;Ingeniería Civil
8947353;20222;Ingeniería Civil
8947388;20232;Ingeniería Civil
8947569;20232;Ingeniería Civil
8947827;20232;Ingeniería Civil
8948005;20232;Ingeniería Civil
8948376;20232;Ingeniería Civil
8949280;20232;Ingeniería Civil
8949470;20232;Ingeniería Civil
8949515;20232;Ingeniería Civil
8949800;20232;Ingeniería Civil
8949829;20232;Ingeniería Civil
8949907;20232;Ingeniería Civil
8949929;20232;Ingeniería Civil
8949973;20232;Ingeniería Civil
8950125;20232;Ingeniería Civil
8950161;20232;Ingeniería Civil
8950326;20232;Ingeniería Civil
8950340;20232;Ingeniería Civil
8950501;20232;Ingeniería Civil
8950601;20232;Ingeniería Civil
8950704;20232;Ingeniería Civil
8950785;20232;Ingeniería Civil
8950952;20232;Ingeniería Civil
8951150;20232;Ingeniería Civil
8951304;20232;Ingeniería Civil
8935208;20231;Ingeniería Civil
8943667;20222;Ingeniería Civil
8944157;20231;Ingeniería Civil
8943277;20231;Ingeniería Civil
8947871;20231;Ingeniería Civil
8943126;20222;Ingeniería Civil
8944065;20231;Ingeniería Civil
8947294;20231;Ingeniería Civil
8922667;20222;Ingeniería Civil
8925781;20222;Ingeniería Civil
8935490;20222;Ingeniería Civil
8943334;20222;Ingeniería Civil
8943433;20222;Ingeniería Civil
8943451;20222;Ingeniería Civil
8943634;20222;Ingeniería Civil
8943756;20222;Ingeniería Civil
8926414;20231;Ingeniería Civil
8934614;20222;Ingeniería Civil
8934857;20222;Ingeniería Civil
8940446;20222;Ingeniería Civil
8942790;20222;Ingeniería Civil
8943275;20222;Ingeniería Civil
8943944;20231;Ingeniería Civil
8944158;20222;Ingeniería Civil
8935460;20222;Ingeniería Civil
8935492;20222;Ingeniería Civil
8938615;20222;Ingeniería Civil
8943161;20222;Ingeniería Civil
8943220;20222;Ingeniería Civil
8943604;20222;Ingeniería Civil
8944021;20222;Ingeniería Civil
8948363;20231;Ingeniería Civil
8923341;20222;Ingeniería Civil
8935677;20222;Ingeniería Civil
8937869;20222;Ingeniería Civil
8942438;20222;Ingeniería Civil
8943173;20222;Ingeniería Civil
8943266;20222;Ingeniería Civil
8943366;20222;Ingeniería Civil
8943609;20231;Ingeniería Civil
8943630;20222;Ingeniería Civil
8943838;20222;Ingeniería Civil
8943993;20222;Ingeniería Civil
8944059;20222;Ingeniería Civil
8944313;20222;Ingeniería Civil
8951197;20222;Ingeniería Civil
0066331;20231;Ingeniería Civil
8931818;20222;Ingeniería Civil
8935008;20231;Ingeniería Civil
8939253;20222;Ingeniería Civil
8939357;20222;Ingeniería Civil
8940197;20222;Ingeniería Civil
8940485;20222;Ingeniería Civil
8941878;20222;Ingeniería Civil
8943020;20222;Ingeniería Civil
8943092;20231;Ingeniería Civil
8943210;20222;Ingeniería Civil
8943228;20222;Ingeniería Civil
8943694;20231;Ingeniería Civil
8943960;20231;Ingeniería Civil
8944174;20222;Ingeniería Civil
8947589;20231;Ingeniería Civil
8949692;20231;Ingeniería Civil
00008933210;20231;Ingeniería Civil
8935146;20222;Ingeniería Civil
8935219;20222;Ingeniería Civil
8935580;20222;Ingeniería Civil
8938608;20222;Ingeniería Civil
8938646;20222;Ingeniería Civil
8938658;20231;Ingeniería Civil
8943462;20222;Ingeniería Civil
8943484;20222;Ingeniería Civil
8943550;20222;Ingeniería Civil
0061255;20231;Ingeniería Civil
8924093;20231;Ingeniería Civil
8934540;20222;Ingeniería Civil
8935100;20231;Ingeniería Civil
8938832;20231;Ingeniería Civil
8939644;20231;Ingeniería Civil
8943214;20231;Ingeniería Civil
8943542;20231;Ingeniería Civil
8944084;20222;Ingeniería Civil
8944086;20222;Ingeniería Civil
8944124;20222;Ingeniería Civil
8944258;20222;Ingeniería Civil
8946283;20231;Ingeniería Civil
8946374;20231;Ingeniería Civil
8947216;20231;Ingeniería Civil
8947353;20231;Ingeniería Civil
8947542;20231;Ingeniería Civil
8949618;20222;Ingeniería Civil
8950649;20231;Ingeniería Civil
8939280;20232;Ingeniería Electrónica
8946329;20232;Ingeniería Electrónica
8946823;20232;Ingeniería Electrónica
8950840;20232;Ingeniería Electrónica
8936032;20222;Ingeniería Electrónica
8944067;20231;Ingeniería Electrónica
6022362;20222;Ingeniería Electrónica
8933623;20222;Ingeniería Electrónica
8943414;20222;Ingeniería Electrónica
8943767;20222;Ingeniería Electrónica
8945827;20231;Ingeniería Electrónica
8943216;20222;Ingeniería Electrónica
8943413;20222;Ingeniería Electrónica
8950847;20231;Ingeniería Electrónica
6118109;20222;Ingeniería Electrónica
8938575;20222;Ingeniería Electrónica
8938815;20222;Ingeniería Electrónica
8943642;20222;Ingeniería Electrónica
8944037;20222;Ingeniería Electrónica
8943272;20222;Ingeniería Electrónica
8943648;20222;Ingeniería Electrónica
8943678;20231;Ingeniería Electrónica
8944056;20222;Ingeniería Electrónica
8954233;20231;Ingeniería Electrónica
5435562;20231;Ingeniería Electrónica
8915621;20222;Ingeniería Electrónica
8935544;20222;Ingeniería Electrónica
8943577;20231;Ingeniería Electrónica
8944091;20231;Ingeniería Electrónica
8923671;20222;Ingeniería Electrónica
8943090;20222;Ingeniería Electrónica
8943644;20222;Ingeniería Electrónica
8947724;20231;Ingeniería Electrónica
8951037;20231;Ingeniería Electrónica
8935723;20231;Ingeniería Electrónica
8943570;20231;Ingeniería Electrónica
8944099;20231;Ingeniería Electrónica
8945973;20231;Ingeniería Electrónica
8946532;20231;Ingeniería Electrónica
8946938;20231;Ingeniería Electrónica
8949790;20231;Ingeniería Electrónica
00008937992;20231;Ingeniería Electrónica
8939709;20232;Ingeniería  De Sistemas Y Computación
8943011;20232;Ingeniería  De Sistemas Y Computación
8943489;20232;Ingeniería  De Sistemas Y Computación
8943665;20232;Ingeniería  De Sistemas Y Computación
8943777;20232;Ingeniería  De Sistemas Y Computación
8947030;20232;Ingeniería  De Sistemas Y Computación
8947234;20232;Ingeniería  De Sistemas Y Computación
8947822;20232;Ingeniería  De Sistemas Y Computación
8947826;20232;Ingeniería  De Sistemas Y Computación
8948106;20232;Ingeniería  De Sistemas Y Computación
8939317;20231;Ingeniería  De Sistemas Y Computación
8939024;20222;Ingeniería  De Sistemas Y Computación
8938889;20222;Ingeniería  De Sistemas Y Computación
8943556;20222;Ingeniería  De Sistemas Y Computación
8953490;20231;Ingeniería  De Sistemas Y Computación
0216932;20231;Ingeniería  De Sistemas Y Computación
8938849;20222;Ingeniería  De Sistemas Y Computación
8946535;20231;Ingeniería  De Sistemas Y Computación
8933924;20222;Ingeniería  De Sistemas Y Computación
8936181;20222;Ingeniería  De Sistemas Y Computación
8943155;20222;Ingeniería  De Sistemas Y Computación
8943358;20222;Ingeniería  De Sistemas Y Computación
8946207;20231;Ingeniería  De Sistemas Y Computación
8946981;20222;Ingeniería  De Sistemas Y Computación
0220859;20222;Ingeniería  De Sistemas Y Computación
8943268;20222;Ingeniería  De Sistemas Y Computación
8943835;20231;Ingeniería  De Sistemas Y Computación
8944125;20231;Ingeniería  De Sistemas Y Computación
8946272;20231;Ingeniería  De Sistemas Y Computación
8946508;20222;Ingeniería  De Sistemas Y Computación
8948297;20231;Ingeniería  De Sistemas Y Computación
8943848;20222;Ingeniería  De Sistemas Y Computación
8944079;20222;Ingeniería  De Sistemas Y Computación
8932280;20231;Ingeniería  De Sistemas Y Computación
8944278;20231;Ingeniería  De Sistemas Y Computación
0064958;20222;Contaduría Pública
0217542;20222;Contaduría Pública
8927475;20222;Contaduría Pública
8932195;20231;Contaduría Pública
8951916;20232;Contaduría Pública
8952122;20232;Contaduría Pública
8952727;20232;Contaduría Pública
8954177;20232;Contaduría Pública
8954402;20232;Contaduría Pública
8913150;20222;Contaduría Pública
0225203;20222;Contaduría Pública
6094022;20231;Contaduría Pública
8918482;20222;Contaduría Pública
8946756;20222;Contaduría Pública
8947457;20222;Contaduría Pública
8950201;20231;Contaduría Pública
0064779;20222;Contaduría Pública
8950599;20231;Contaduría Pública
8950726;20231;Contaduría Pública
8936384;20222;Contaduría Pública
8943389;20222;Contaduría Pública
8950287;20231;Contaduría Pública
8940308;20222;Contaduría Pública
8946276;20231;Contaduría Pública
8949452;20231;Contaduría Pública
8950570;20231;Contaduría Pública
0007681;20232;Psicología
8938885;20232;Psicología
8945735;20232;Psicología
8947145;20232;Psicología
8949520;20232;Psicología
8950715;20232;Psicología
8952490;20232;Psicología
8952664;20232;Psicología
8952685;20232;Psicología
8952955;20232;Psicología
8953173;20232;Psicología
8953368;20232;Psicología
8953556;20232;Psicología
8957117;20232;Psicología
00008952487;20232;Psicología
4652419;20222;Psicología
2826633;20222;Psicología
8950528;20231;Psicología
8949968;20231;Psicología
8945963;20231;Psicología
2951471;20222;Psicología
8938428;20222;Psicología
8946732;20231;Psicología
0060727;20222;Psicología
7297180;20222;Psicología
8939364;20222;Psicología
8939425;20231;Psicología
8950348;20231;Psicología
00008946306;20231;Psicología
0075222;20222;Psicología
8949488;20231;Psicología
8949856;20231;Psicología
8950277;20231;Psicología
8950386;20231;Psicología
8963770;20222;Psicología
8934422;20231;Psicología
8946527;20222;Psicología
8947407;20222;Psicología
8948075;20231;Psicología
8940060;20222;Psicología
8946410;20231;Psicología
8946412;20231;Psicología
8946557;20222;Psicología
8947504;20222;Psicología
8931791;20231;Psicología
8950129;20231;Psicología
8928991;20231;Psicología
8928991;20232;Psicología
8942967;20232;Psicología
8952538;20232;Psicología
8952597;20232;Psicología
8952617;20232;Psicología
8952783;20232;Psicología
8952888;20232;Psicología
8952963;20232;Psicología
8953048;20232;Psicología
8953922;20232;Psicología
8945799;20222;Psicología
8947343;20222;Psicología
8936487;20222;Psicología
8943621;20222;Psicología
8934705;20222;Psicología
8942717;20222;Psicología
8945786;20231;Psicología
8947575;20222;Psicología
8946892;20222;Psicología
8946982;20222;Psicología
8947518;20222;Psicología
8950655;20231;Psicología
8950989;20231;Psicología
8953713;20231;Psicología
8933946;20222;Psicología
8935756;20231;Psicología
8941298;20222;Psicología
8943202;20222;Psicología
8950138;20231;Psicología
8950942;20231;Psicología
8932319;20231;Psicología
8943552;20231;Psicología
8944530;20222;Psicología
8945891;20222;Psicología
8945912;20222;Psicología
8946416;20231;Psicología
8946821;20222;Psicología
8947161;20231;Psicología
8947617;20222;Psicología
8949093;20231;Psicología
8950292;20231;Psicología
8950299;20231;Psicología
8952923;20222;Psicología
8942674;20222;Psicología
8942892;20231;Psicología
8946604;20222;Psicología
8946639;20231;Psicología
8947129;20231;Psicología
8948056;20222;Psicología
8949476;20231;Psicología
8950470;20231;Psicología
8938688;20222;Psicología
8942757;20231;Psicología
8946894;20222;Psicología
8947070;20222;Psicología
8947164;20222;Psicología
8950337;20231;Psicología
8953895;20231;Psicología
8946388;20222;Psicología
8931791;20232;Psicología
8934422;20232;Psicología
8939425;20232;Psicología
8945963;20232;Psicología
8946410;20232;Psicología
8946412;20232;Psicología
8946732;20232;Psicología
8948075;20232;Psicología
8949488;20232;Psicología
8949856;20232;Psicología
8949968;20232;Psicología
8950129;20232;Psicología
8950277;20232;Psicología
8950348;20232;Psicología
8950386;20232;Psicología
8950528;20232;Psicología
00008946306;20232;Psicología
8940170;20222;Psicología
8934545;20222;Psicología
8938808;20222;Psicología
0075222;20231;Psicología
4652419;20231;Psicología
8938934;20222;Psicología
8943287;20222;Psicología
2118936;20222;Psicología
2826633;20231;Psicología
8938654;20222;Psicología
8939364;20231;Psicología
8939378;20222;Psicología
8939623;20222;Psicología
8947407;20231;Psicología
7297180;20231;Psicología
8940060;20231;Psicología
8941623;20222;Psicología
0060727;20231;Psicología
2951471;20231;Psicología
8938428;20231;Psicología
8946527;20231;Psicología
8947328;20222;Psicología
8963770;20231;Psicología
8946557;20231;Psicología
8947504;20231;Psicología
8931791;20231;Psicología
8932319;20232;Psicología
8935756;20232;Psicología
8942757;20232;Psicología
8942892;20232;Psicología
8943552;20232;Psicología
8946416;20232;Psicología
8946639;20232;Psicología
8947129;20232;Psicología
8947161;20232;Psicología
8949093;20232;Psicología
8949476;20232;Psicología
8950138;20232;Psicología
8950292;20232;Psicología
8950299;20232;Psicología
8950337;20232;Psicología
8950470;20232;Psicología
8950655;20232;Psicología
8950942;20232;Psicología
8950989;20232;Psicología
8953895;20232;Psicología
8947617;20231;Psicología
8947343;20231;Psicología
0068672;20222;Psicología
8931065;20222;Psicología
8933946;20231;Psicología
8936487;20231;Psicología
8939138;20222;Psicología
8945799;20231;Psicología
8946982;20231;Psicología
8939500;20222;Psicología
8942387;20222;Psicología
8943402;20222;Psicología
8944238;20222;Psicología
8944530;20231;Psicología
8931812;20222;Psicología
8940393;20222;Psicología
8942937;20222;Psicología
8943614;20222;Psicología
8946892;20231;Psicología
8934705;20231;Psicología
8935477;20222;Psicología
8939981;20222;Psicología
8940136;20222;Psicología
8942717;20231;Psicología
8943154;20222;Psicología
8943621;20231;Psicología
8945891;20231;Psicología
8946821;20231;Psicología
8947518;20231;Psicología
8948056;20231;Psicología
8926139;20222;Psicología
8938402;20222;Psicología
8938688;20231;Psicología
8939515;20222;Psicología
8940583;20222;Psicología
8941671;20222;Psicología
8942674;20231;Psicología
8943202;20231;Psicología
8943338;20222;Psicología
8943909;20222;Psicología
8944254;20222;Psicología
8945786;20231;Psicología
8945912;20231;Psicología
8946604;20231;Psicología
00008937984;20222;Psicología
0200493;20222;Psicología
8912923;20222;Psicología
8914163;20231;Psicología
8931351;20222;Psicología
8935281;20222;Psicología
8938630;20222;Psicología
8940869;20222;Psicología
8942699;20222;Psicología
8943057;20222;Psicología
8943488;20222;Psicología
8943748;20222;Psicología
8944126;20222;Psicología
8944190;20222;Psicología
8946388;20231;Psicología
8946894;20231;Psicología
8947164;20231;Psicología
8947575;20231;Psicología
8941298;20231;Psicología
8947070;20231;Psicología
8952923;20231;Psicología
0217522;20232;Derecho
8942179;20231;Derecho
8942277;20232;Derecho
8946576;20231;Derecho
8946710;20232;Derecho
8946839;20232;Derecho
8947325;20232;Derecho
8949521;20232;Derecho
8950861;20232;Derecho
8941452;20231;Derecho
8944419;20231;Derecho
2157233;20222;Derecho
8942684;20222;Derecho
8943544;20222;Derecho
8938900;20222;Derecho
8939543;20222;Derecho
8943005;20231;Derecho
8943327;20231;Derecho
8911653;20222;Derecho
8943024;20222;Derecho
8943342;20231;Derecho
8943631;20231;Derecho
6042073;20222;Derecho
8912849;20222;Derecho
8913927;20222;Derecho
8934544;20222;Derecho
8935633;20222;Derecho
8937828;20222;Derecho
8938652;20222;Derecho
8939474;20231;Derecho
8939945;20222;Derecho
8855633;20222;Derecho
8935738;20222;Derecho
8939442;20222;Derecho
8953568;20222;Derecho
8913507;20232;Ciencia Política
8918634;20232;Ciencia Política
8942653;20232;Ciencia Política
8944425;20232;Ciencia Política
8945789;20232;Ciencia Política
8946674;20232;Ciencia Política
8947581;20232;Ciencia Política
8947621;20232;Ciencia Política
8947946;20232;Ciencia Política
8948009;20232;Ciencia Política
8948629;20232;Ciencia Política
8949599;20232;Ciencia Política
8950095;20232;Ciencia Política
8950771;20232;Ciencia Política
8952770;20232;Ciencia Política
8953000;20232;Ciencia Política
8953155;20232;Ciencia Política
8953406;20232;Ciencia Política
8954026;20232;Ciencia Política
8955343;20232;Ciencia Política
8956151;20232;Ciencia Política
8956399;20232;Ciencia Política
8956634;20232;Ciencia Política
8959669;20232;Ciencia Política
8960628;20232;Ciencia Política
8950095;20222;Ciencia Política
8950469;20222;Ciencia Política
8925279;20231;Ciencia Política
0223898;20222;Ciencia Política
8943762;20222;Ciencia Política
8947012;20231;Ciencia Política
8939905;20222;Ciencia Política
8947304;20222;Ciencia Política
8947620;20222;Ciencia Política
8950056;20222;Ciencia Política
8936427;20222;Ciencia Política
8940676;20222;Ciencia Política
8942911;20222;Ciencia Política
8946598;20222;Ciencia Política
0058171;20222;Ciencia Política
8944476;20222;Ciencia Política
8945807;20222;Ciencia Política
8946393;20231;Ciencia Política
8947550;20231;Ciencia Política
8950130;20222;Ciencia Política
8950680;20222;Ciencia Política
8939699;20222;Ciencia Política
8945532;20222;Ciencia Política
8946977;20222;Ciencia Política
8951940;20222;Ciencia Política
8912341;20222;Ciencia Política
8940160;20231;Ciencia Política
8943601;20222;Ciencia Política
8946695;20222;Ciencia Política
8947835;20222;Ciencia Política
8949745;20231;Ciencia Política
8950323;20231;Ciencia Política
8912178;20231;Ciencia Política
8938453;20222;Ciencia Política
8940125;20231;Ciencia Política
8941599;20231;Ciencia Política
8945994;20231;Ciencia Política
8931690;20232;Administración De Empresas
8932454;20232;Administración De Empresas
8934439;20232;Administración De Empresas
8943761;20232;Administración De Empresas
8943843;20232;Administración De Empresas
8946300;20232;Administración De Empresas
8952200;20232;Administración De Empresas
8952616;20232;Administración De Empresas
8952850;20232;Administración De Empresas
8952993;20232;Administración De Empresas
8953295;20232;Administración De Empresas
8953439;20232;Administración De Empresas
8953893;20232;Administración De Empresas
8955852;20232;Administración De Empresas
8956310;20232;Administración De Empresas
8956334;20232;Administración De Empresas
8956417;20232;Administración De Empresas
8956695;20232;Administración De Empresas
8956707;20232;Administración De Empresas
8957034;20232;Administración De Empresas
8957160;20232;Administración De Empresas
8957914;20232;Administración De Empresas
8964803;20232;Administración De Empresas
8931303;20222;Administración De Empresas
8939297;20222;Administración De Empresas
8748045;20222;Administración De Empresas
8939376;20222;Administración De Empresas
8950811;20231;Administración De Empresas
8950982;20231;Administración De Empresas
8940509;20222;Administración De Empresas
8946431;20222;Administración De Empresas
8944246;20222;Administración De Empresas
8947536;20222;Administración De Empresas
8948098;20222;Administración De Empresas
8953271;20231;Administración De Empresas
0221785;20222;Administración De Empresas
8943045;20231;Administración De Empresas
8943379;20222;Administración De Empresas
8944277;20231;Administración De Empresas
8946786;20222;Administración De Empresas
8949572;20222;Administración De Empresas
8949839;20222;Administración De Empresas
8950018;20222;Administración De Empresas
8953731;20231;Administración De Empresas
8954245;20231;Administración De Empresas
2359905;20222;Administración De Empresas
8918781;20231;Administración De Empresas
8938744;20222;Administración De Empresas
8939402;20231;Administración De Empresas
8940063;20222;Administración De Empresas
8943088;20222;Administración De Empresas
8944103;20231;Administración De Empresas
8946708;20231;Administración De Empresas
8946763;20222;Administración De Empresas
8947065;20222;Administración De Empresas
8947551;20231;Administración De Empresas
8947695;20222;Administración De Empresas
8947790;20222;Administración De Empresas
8949954;20222;Administración De Empresas
8950317;20231;Administración De Empresas
8950621;20222;Administración De Empresas
8952431;20231;Administración De Empresas
8913983;20231;Administración De Empresas
8916873;20222;Administración De Empresas
8931638;20222;Administración De Empresas
8932128;20222;Administración De Empresas
8935933;20231;Administración De Empresas
8942075;20231;Administración De Empresas
8943727;20222;Administración De Empresas
8947010;20231;Administración De Empresas
8947614;20222;Administración De Empresas
8950319;20222;Administración De Empresas
8950394;20222;Administración De Empresas
8952750;20231;Administración De Empresas
8953318;20231;Administración De Empresas
8931392;20231;Administración De Empresas
8940314;20222;Administración De Empresas
8940527;20222;Administración De Empresas
8946246;20231;Administración De Empresas
8946699;20222;Administración De Empresas
8947403;20222;Administración De Empresas
8949557;20222;Administración De Empresas
8950979;20231;Administración De Empresas
8950980;20231;Administración De Empresas
8959999;20231;Administración De Empresas
8935940;20222;Administración De Empresas
8942131;20231;Administración De Empresas
8952805;20231;Administración De Empresas
8954166;20231;Administración De Empresas
4490455;20232;Administración De Empresas
8943110;20222;Economía
8935903;20232;Economía
8939118;20232;Economía
8939350;20232;Economía
8944055;20232;Economía
8947492;20232;Economía
8951051;20232;Economía
8952394;20232;Economía
8952475;20232;Economía
8952953;20232;Economía
8952967;20232;Economía
8956234;20232;Economía
8956812;20232;Economía
8956998;20232;Economía
8957110;20232;Economía
00008955266;20232;Economía
8946872;20222;Economía
0199509;20222;Economía
8947332;20222;Economía
8918511;20222;Economía
8939141;20231;Economía
8946323;20222;Economía
8946761;20222;Economía
8939646;20222;Economía
8942321;20231;Economía
8946652;20231;Economía
8946964;20222;Economía
8952827;20231;Economía
8939021;20222;Economía
8954606;20231;Economía
6326170;20231;Economía
8950429;20231;Economía
8947430;20222;Economía
8947723;20231;Economía
8961328;20222;Economía
2162151;20232;Administración De Empresas
2931187;20232;Administración De Empresas
8940356;20232;Administración De Empresas
8943291;20232;Administración De Empresas
8948243;20232;Administración De Empresas
8949448;20232;Administración De Empresas
8951143;20232;Administración De Empresas
8952138;20232;Administración De Empresas
8952596;20232;Administración De Empresas
8952673;20232;Administración De Empresas
8953046;20232;Administración De Empresas
8955331;20232;Administración De Empresas
8956473;20232;Administración De Empresas
